LSOA11CD,imd_rank,imd_score,income,employment,education,health,crime,housing,living_env,idaci,idaopi,IDfetex,iMEAN1,iDEVST1,iMAJORITY1,iMEAN2,iDEVST2,iMAJORITY2,iMEAN3,iDEVST3,iMAJORITY3,iMEAN_EDG,iDEVST_EDG,iUNIFOR,iENTROP,iCONTRAS,iIDM,iCOVAR,iVARIAN,iCORRELAC,iSKEWNESS,iKURTOSIS,iRVF,iRSF,iFDO,iSDT,iMFM,iVFM,iDMF,iRMM,iSDF,iAFM,f1,f2,f3,f4
"E01006512",10518,25.61,.1,.08,10.06,1.19,-.2,24.49,68.91,.16,.31,0,83.99133,32.88763,66,85.55289,31.65046,81,77.71347,34.10677,58,10.664,8.30513,.0128681,2.132199,26.5638,.390561,51.05256,64.33446,.7935492,.6010597,.6085633,4.537022,1.483142,115.1067,9.30961,800.5306,.4068615,562.2844,1.23726,-372.3502,4809.124,1.035625,.7949964,-.3787805,.3950031
"E01006513",10339,25.91,.04,.03,20.13,.58,1.5,25.15,85.48,.21,.2,1,78.98349,39.34499,74,79.73444,38.44604,77,74.89839,37.54978,41,11.0021,9.00396,.0114012,2.190983,29.47588,.3949205,77.45554,92.19348,.8401412,.873448,.9128851,5.857384,1.504904,133.5257,11.28375,959.5134,.5093836,695.0555,1.310831,-396.8093,5632.519,1.011296,1.022961,.9198901,1.355431
"E01006514",5247,37.64,.19,.15,15.5,1.86,.74,21.85,58.9,.23,.48,2,68.106,33.75253,49,69.6281,33.08105,65,64.00817,32.80726,41,10.0168,8.66156,.0150961,2.075744,24.99973,.4194035,55.79506,68.29493,.8169723,1.022425,1.797618,5.166127,1.475361,104.8418,7.327205,759.9423,.4485696,539.3903,1.278479,-327.7626,4410.455,.0211137,.5255319,.5319693,1.211021
"E01006515",1019,58.99,.43,.3,33.51,1.9,1.16,17.4,29.78,.46,.76,3,82.33875,37.71132,90,82.1031,36.79991,89,74.24774,37.01879,82,10.1507,8.96408,.0139204,2.125166,24.73747,.4171416,72.70314,85.07188,.8546084,1.126514,2.439506,6.378946,1.530747,118.3049,10.00745,875.0216,.6303734,652.1189,1.341161,-353.5954,5180.377,1.058801,.3284375,1.220354,1.267816
"E01006518",662,63.37,.43,.34,49.9,2.24,.67,15.52,31.03,.5,.52,4,70.89652,29.50722,82,71.09399,27.8584,77,62.62011,28.0539,74,10.5661,7.93064,.0147426,2.060482,24.44258,.3824518,40.0336,52.25489,.7661216,.804593,2.64535,4.053693,1.483442,103.8348,3.729228,599.0963,.3684916,384.3139,1.309238,-199.0503,1981.674,-.393752,.5637027,.3026969,-.3757592
"E01006519",23033,10.98,.05,.08,1.76,.26,.11,11.37,26.35,.05,.08,5,68.56013,29.92187,58,73.46761,27.89692,77,58.49492,27.922,49,8.24552,7.83297,.0269687,1.91341,16.7597,.4817354,45.16446,53.54431,.8434969,1.607415,5.159462,5.937587,1.509527,76.85381,3.007743,538.6492,.4877521,387.8157,1.317548,-216.7687,3126.825,-.0845763,-1.086287,.5799621,1.106046
"E01006520",3867,42.18,.24,.21,11.41,1.6,1.34,16.58,53.38,.21,.52,6,63.77634,26.55739,58,65.6483,25.17205,69,56.87953,25.32142,49,8.98924,7.1542,.0195506,1.943081,17.65686,.4173799,33.54769,42.37612,.791665,1.04471,2.965051,4.52978,1.514324,80.08123,3.408488,527.0085,.406393,371.3066,1.237657,-246.0594,3175.819,-1.092623,-.1064993,.5294686,.9606629
"E01006521",8908,28.52,.17,.17,13.02,1.07,.56,9.97,39.68,.21,.24,7,59.45766,23.02013,58,64.08319,21.55287,73,51.76302,20.50421,49,6.17039,6.0893,.0328764,1.741161,10.15866,.5365605,26.69953,31.77886,.8401664,.8310413,2.317323,5.827857,1.529195,48.13256,3.066404,326.8451,.4824039,235.8908,1.260861,-150.6296,1984.588,-1.249545,-1.394652,1.058185,-.3536058
"E01006522",2731,47.32,.27,.23,29.18,2.22,1.07,12.49,41.95,.4,.48,8,58.75336,21.1081,49,64.62545,18.78247,69,51.50382,18.7855,49,5.61372,5.76545,.0444207,1.661638,8.746172,.5696877,22.22453,26.59761,.8355835,.9414382,2.422563,5.609558,1.530927,42.18141,2.619031,279.7165,.4509726,200.2679,1.231376,-135.5481,1718.379,-1.313872,-1.83486,.7952501,-.3036382
"E01006523",5351,37.32,.25,.2,9.09,1.65,.68,14.61,42.39,.29,.39,9,66.60817,26.51115,66,66.74083,24.918,73,58.93304,24.57577,49,9.4,6.83422,.0166985,1.975275,17.49857,.4010784,33.37777,42.12706,.792312,.5562705,.8113043,4.441748,1.511088,80.883,2.456042,483.028,.4512967,324.7715,1.334432,-163.2314,1387.88,-.9609347,.2273826,1.059144,-1.304152
